sent_id	description	ARG0	ARG1	narrative	verb	verb_lemma	frame	frame_score	sentence
1	[ARG0: The US] [ARGM-MOD: should] [adopt.01: adopt] [ARG1: stricter gun control legislation , in the form of the policy defined in the discussion info \(click top left menu = \ > Info\ )] .	The US	stricter gun control legislation , in the form of the policy defined in the discussion info \(click top left menu = \ > Info\ )	('The US', 'adopt', 'stricter gun control legislation , in the form of the policy defined in the discussion info \\(click top left menu = \\ > Info\\ )')	adopt	adopt	adopt.01	1.0	The US should adopt stricter gun control legislation, in the form of the policy defined in the discussion info \(click top left menu =\> Info\).
1.1.	[ARG0: This policy] [ARGM-MOD: would] [do.02: do] [ARG1: significant harm] [ARG2: to weapons manufacturers and sellers] .	This policy	significant harm	('This policy', 'do', 'significant harm')	do	do	do.02	0.9999992847442627	This policy would do significant harm to weapons manufacturers and sellers.
1.1.1.	[ARG0: Industry] [need.01: needs] [ARG1: change] , and with them employment needs .	Industry	change	('Industry', 'needs', 'change')	needs	need	need.01	1.0	Industry needs change, and with them employment needs.
1.1.1.	[ARG0: Technological and societal changes] have [ARGM-ADV: more or less] [kill.01: killed] [ARG1: these industries] .	Technological and societal changes	these industries	('Technological and societal changes', 'killed', 'these industries')	killed	kill	kill.01	0.9999997615814209	Technological and societal changes have more or less killed these industries.
1.1.1.1.	[ARG0: The thesis statement] [make.01: makes] [ARG1: no timeline claim] [ARGM-PRP: so presumably the market could be given time to react] .	The thesis statement	no timeline claim	('The thesis statement', 'makes', 'no timeline claim')	makes	make	make.01	0.9999918937683105	The thesis statement makes no timeline claim so presumably the market could be given time to react.
1.1.1.1.	There are many good gun uses that may be collateral damage of gun regulations , presumably [ARG0: new markets] may open up to [meet.01: meet] [ARG1: that demand] .	new markets	that demand	('new markets', 'meet', 'that demand')	meet	meet	meet.01	0.9999856948852539	There are many good gun uses that may be collateral damage of gun regulations, presumably new markets may open up to meet that demand.
1.1.1.2.	[ARG0: Gun manufacturers] [ARGM-MOD: can] [retool.01: retool] [ARG1: to produce other high - demand equipment] - and given the money that was being spent on personal firearms will still be in the economy , they 'll have customers with available disposable income to target .	Gun manufacturers	to produce other high - demand equipment	('Gun manufacturers', 'retool', 'to produce other high - demand equipment')	retool	retool	retool.01	0.9994114637374878	Gun manufacturers can retool to produce other high-demand equipment - and given the money that was being spent on personal firearms will still be in the economy, they'll have customers with available disposable income to target.
1.1.1.2.	[ARG0: Gun manufacturers] can retool to [produce.01: produce] [ARG1: other high - demand equipment] - and given the money that was being spent on personal firearms will still be in the economy , they 'll have customers with available disposable income to target .	Gun manufacturers	other high - demand equipment	('Gun manufacturers', 'produce', 'other high - demand equipment')	produce	produce	produce.01	0.9999995231628418	Gun manufacturers can retool to produce other high-demand equipment - and given the money that was being spent on personal firearms will still be in the economy, they'll have customers with available disposable income to target.
1.1.1.2.	Gun manufacturers can retool to produce other high - demand equipment - and [ARGM-ADV: given the money that was being spent on personal firearms will still be in the economy] , [ARG0: they] [ARGM-MOD: 'll] [have.03: have] [ARG1: customers with available disposable income to target] .	they	customers with available disposable income to target	('they', 'have', 'customers with available disposable income to target')	have	have	have.03	0.9999992847442627	Gun manufacturers can retool to produce other high-demand equipment - and given the money that was being spent on personal firearms will still be in the economy, they'll have customers with available disposable income to target.
1.1.2.	[ARG0: The loss of life as a result of gun violence] [outweigh.01: outweighs] [ARG1: short term job loss] [ARGM-TMP: as the market adjusts to decreased demand for guns] .	The loss of life as a result of gun violence	short term job loss	('The loss of life as a result of gun violence', 'outweighs', 'short term job loss')	outweighs	outweigh	outweigh.01	0.9999974966049194	The loss of life as a result of gun violence outweighs short term job loss as the market adjusts to decreased demand for guns.
1.1.2.1.	[ARGM-DIS: However] [ARG0: the loss of life and increase in violent crime resulting from an unarmed public] [outweigh.01: outweighs] [ARG1: the loss of life from gun violence] .	the loss of life and increase in violent crime resulting from an unarmed public	the loss of life from gun violence	('the loss of life and increase in violent crime resulting from an unarmed public', 'outweighs', 'the loss of life from gun violence')	outweighs	outweigh	outweigh.01	0.9999977350234985	However the loss of life and increase in violent crime resulting from an unarmed public outweighs the loss of life from gun violence.
1.1.2.1.1.	[ARG0: That] 's [assume.02: assuming] [ARG1: more guns result in less violence , which is the premise both sides are most likely to disagree on] .	That	more guns result in less violence , which is the premise both sides are most likely to disagree on	('That', 'assuming', 'more guns result in less violence , which is the premise both sides are most likely to disagree on')	assuming	assume	assume.02	0.999996542930603	That's assuming more guns result in less violence, which is the premise both sides are most likely to disagree on.
1.1.3.	[ARGM-ADV: If high rate of fire / capacity guns become taboo] , [ARGM-ADV: then] [ARG0: other models] [ARGM-MOD: will] [take.01: take] [ARG1: priority] .	other models	priority	('other models', 'take', 'priority')	take	take	take.01	0.9999986886978149	If high rate of fire/capacity guns become taboo, then other models will take priority.
1.1.4.	[ARG0: Regulations] [ARGM-MOD: could] [favor.01: favor] [ARG1: larger weapons manufacturers and distributors over local businesses] .	Regulations	larger weapons manufacturers and distributors over local businesses	('Regulations', 'favor', 'larger weapons manufacturers and distributors over local businesses')	favor	favor	favor.01	1.0	Regulations could favor larger weapons manufacturers and distributors over local businesses.
1.1.4.1.	[ARG0: Many gun owners] [support.01: support] [ARG1: both American - made guns and small businesses] .	Many gun owners	both American - made guns and small businesses	('Many gun owners', 'support', 'both American - made guns and small businesses')	support	support	support.01	1.0	Many gun owners support both American-made guns and small businesses.
1.1.4.1.	Many gun owners support both [ARG0: American] - [make.01: made] [ARG1: guns] and small businesses .	American	guns	('American', 'made', 'guns')	made	make	make.01	0.9999788999557495	Many gun owners support both American-made guns and small businesses.
1.1.4.1.	[ARGM-DIS: In fact] [ARG0: they] [ARGM-MOD: would] [ARGM-ADV: probably] [flock.02: flock] [ARG1: to those businesses] [ARGM-ADV: more] [ARGM-TMP: after the regulation] [ARGM-PNC: to make sure they do n't go out of business] .	they	to those businesses	('they', 'flock', 'to those businesses')	flock	flock	flock.02	0.9969930648803711	In fact they would probably flock to those businesses more after the regulation to make sure they don't go out of business.
1.1.4.1.1.	Except [ARG0: they] are not always able to [do.02: do] [ARG1: so] .	they	so	('they', 'do', 'so')	do	do	do.02	0.9999997615814209	Except they are not always able to do so.
1.1.4.1.1.	[ARG0: California] [drive.01: drove] [ARG1: literally every single gun shop out of business in San Francisco] [ARGM-CAU: due to excessive regulations] , [ARGM-ADV: with no indication that additional laws would not be passed until gun store owners decided to give up , the last one deciding to close it 's doors under the threat of even more restrictions] .	California	literally every single gun shop out of business in San Francisco	('California', 'drove', 'literally every single gun shop out of business in San Francisco')	drove	drive	drive.01	0.9990134239196777	California drove literally every single gun shop out of business in San Francisco due to excessive regulations, with no indication that additional laws would not be passed until gun store owners decided to give up, the last one deciding to close it's doors under the threat of even more restrictions.
1.1.4.1.1.	California drove literally every single gun shop out of business in San Francisco due to excessive regulations , with no indication that additional laws would not be passed until [ARG0: gun store owners] [decide.01: decided] [ARG1: to give up] , the last one deciding to close it 's doors under the threat of even more restrictions .	gun store owners	to give up	('gun store owners', 'decided', 'to give up')	decided	decide	decide.01	1.0	California drove literally every single gun shop out of business in San Francisco due to excessive regulations, with no indication that additional laws would not be passed until gun store owners decided to give up, the last one deciding to close it's doors under the threat of even more restrictions.
1.1.4.1.1.	California drove literally every single gun shop out of business in San Francisco due to excessive regulations , with no indication that additional laws would not be passed until gun store owners decided to give up , [ARG0: the last one] [decide.01: deciding] [ARG1: to close it 's doors under the threat of even more restrictions] .	the last one	to close it 's doors under the threat of even more restrictions	"('the last one', 'deciding', ""to close it 's doors under the threat of even more restrictions"")"	deciding	decide	decide.01	1.0	California drove literally every single gun shop out of business in San Francisco due to excessive regulations, with no indication that additional laws would not be passed until gun store owners decided to give up, the last one deciding to close it's doors under the threat of even more restrictions.
1.1.4.1.1.	California drove literally every single gun shop out of business in San Francisco due to excessive regulations , with no indication that additional laws would not be passed until gun store owners decided to give up , [ARG0: the last one] deciding to [close.01: close] [ARG1: it 's doors] [ARGM-CAU: under the threat of even more restrictions] .	the last one	it 's doors	"('the last one', 'close', ""it 's doors"")"	close	close	close.01	0.9999966621398926	California drove literally every single gun shop out of business in San Francisco due to excessive regulations, with no indication that additional laws would not be passed until gun store owners decided to give up, the last one deciding to close it's doors under the threat of even more restrictions.
1.1.4.2.	[ARG0: Larger companies] are held more accountable and [have.03: have] [ARG1: more eyes on them than smaller businesses] .	Larger companies	more eyes on them than smaller businesses	('Larger companies', 'have', 'more eyes on them than smaller businesses')	have	have	have.03	0.9999996423721313	Larger companies are held more accountable and have more eyes on them than smaller businesses.
1.1.5.	[ARG0: Legislation] being [damage.01: damaging] [ARG1: to the economy] should n't be a barrier to legislation .	Legislation	to the economy	('Legislation', 'damaging', 'to the economy')	damaging	damage	damage.01	0.9999979734420776	Legislation being damaging to the economy shouldn't be a barrier to legislation.
1.1.6.	[ARG0: Weapons manufacturers] would be free to [leverage.01: leverage] [ARG1: their capital and production experience] [ARGM-DIR: towards more socially constructive industries] .	Weapons manufacturers	their capital and production experience	('Weapons manufacturers', 'leverage', 'their capital and production experience')	leverage	leverage	leverage.01	0.999977707862854	Weapons manufacturers would be free to leverage their capital and production experience towards more socially constructive industries.
1.1.7.	[ARG0: It] [ARGM-DIS: also] [follow.05: follows] [ARG1: that companies that are already suffering harm due to legal restrictions should be afforded relief] .	It	that companies that are already suffering harm due to legal restrictions should be afforded relief	('It', 'follows', 'that companies that are already suffering harm due to legal restrictions should be afforded relief')	follows	follow	follow.05	0.9947397112846375	It also follows that companies that are already suffering harm due to legal restrictions should be afforded relief.
1.1.7.	It also follows that [ARG0: companies] [R-ARG0: that] are [ARGM-TMP: already] [suffer.01: suffering] [ARG1: harm] [ARGM-CAU: due to legal restrictions] should be afforded relief .	companies	harm	('companies', 'suffering', 'harm')	suffering	suffer	suffer.01	1.0	It also follows that companies that are already suffering harm due to legal restrictions should be afforded relief.
1.1.7.1.	The product 's legal status is protected in the supreme law of the country as [ARG1: an inalienable individual right] [R-ARG1: which] [ARGM-MOD: can] [ARGM-NEG: not] be [infringe.01: infringed] [ARG0: by government] .	by government	an inalienable individual right	('by government', 'infringed', 'an inalienable individual right')	infringed	infringe	infringe.01	0.999996542930603	The product's legal status is protected in the supreme law of the country as an inalienable individual right which cannot be infringed by government.
1.1.7.1.	[ARG0: Companies] [R-ARG0: that] have [sell.01: sold] [ARG1: hundreds of millions of common firearms] [ARG2: to citizens] [ARGM-PNC: for legitimate defensive and other purposes] are not to blame for the extremely small fraction of guns that are misused .	Companies	hundreds of millions of common firearms	('Companies', 'sold', 'hundreds of millions of common firearms')	sold	sell	sell.01	1.0	Companies that have sold hundreds of millions of common firearms to citizens for legitimate defensive and other purposes are not to blame for the extremely small fraction of guns that are misused.
1.1.7.1.1.	There are [ARG0: many drug users] [R-ARG0: that] do [ARGM-NEG: not] [cause.01: cause] [ARG1: harm] [ARGM-GOL: to themselves and others] , and many drug manufacturers and sellers that make profit and support families .	many drug users	harm	('many drug users', 'cause', 'harm')	cause	cause	cause.01	1.0	There are many drug users that do not cause harm to themselves and others, and many drug manufacturers and sellers that make profit and support families.
1.1.7.1.1.	There are many drug users that do not cause harm to themselves and others , and [ARG0: many drug manufacturers and sellers] [R-ARG0: that] [make.05: make] [ARG1: profit] and support families .	many drug manufacturers and sellers	profit	('many drug manufacturers and sellers', 'make', 'profit')	make	make	make.05	0.9999972581863403	There are many drug users that do not cause harm to themselves and others, and many drug manufacturers and sellers that make profit and support families.
1.1.7.1.1.	There are many drug users that do not cause harm to themselves and others , and [ARG0: many drug manufacturers and sellers] [R-ARG0: that] make profit and [support.01: support] [ARG1: families] .	many drug manufacturers and sellers	families	('many drug manufacturers and sellers', 'support', 'families')	support	support	support.01	1.0	There are many drug users that do not cause harm to themselves and others, and many drug manufacturers and sellers that make profit and support families.
1.1.8.	By [implement.01: implementing] [ARG1: the proposed bill] [ARGM-LOC: in this discussion] , [ARG0: the US] could energize an industry of non - lethal weapons used in lieu of lethal alternatives to home invasions and personal defense .	the US	the proposed bill	('the US', 'implementing', 'the proposed bill')	implementing	implement	implement.01	1.0	By implementing the proposed bill in this discussion, the US could energize an industry of non-lethal weapons used in lieu of lethal alternatives to home invasions and personal defense.
1.1.8.	[ARGM-MNR: By implementing the proposed bill in this discussion] , [ARG0: the US] [ARGM-MOD: could] [energize.01: energize] [ARG1: an industry of non - lethal weapons used in lieu of lethal alternatives to home invasions and personal defense] .	the US	an industry of non - lethal weapons used in lieu of lethal alternatives to home invasions and personal defense	('the US', 'energize', 'an industry of non - lethal weapons used in lieu of lethal alternatives to home invasions and personal defense')	energize	energize	energize.01	0.999049723148346	By implementing the proposed bill in this discussion, the US could energize an industry of non-lethal weapons used in lieu of lethal alternatives to home invasions and personal defense.
